School,Conference,Player Name,Class/Year,Total Minutes Played,Games Played,Games Started,Nationality,Hometown,Country,Source Stats URL,Source Roster URL,Data Confidence,Notes,Estimated Graduation,Position
Air Force,Mountain West,Brody Smith,Fr.,,,,USA,"Cary, NC",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2029,Goalkeeper
Air Force,Mountain West,Ben Wunsch,Sr.,,,,USA,"St. Louis, MO",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2026,Midfielder
Air Force,Mountain West,Kyle Skevington,Fr.,,,,USA,"Carlsbad, CA",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2029,Defender
Air Force,Mountain West,Attila Toth,Fr.,,,,USA,"Phoenix, AZ",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2029,Forward
Air Force,Mountain West,Carter Rizzo,Sr.,,,,USA,"Phoenix, AZ",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2026,Forward
Air Force,Mountain West,Joey Betts,Sr.,,,,USA,"Panama City, FL",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2026,Forward
Air Force,Mountain West,Weston Cantrell,Fr.,,,,USA,"Granbury, TX",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2029,Forward
Air Force,Mountain West,Nick Bisagno,Sr.,,,,USA,"Boise, ID",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2026,Midfielder
Air Force,Mountain West,Ryan Daunt,Jr.,,,,USA,"Tallahassee, FL",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2027,Midfielder
Air Force,Mountain West,Ridge Owen,Jr.,,,,USA,"Chula Vista, CA",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2027,Forward
Air Force,Mountain West,Noah Reznik,Sr.,,,,USA,"Des Moines, IA",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2026,Midfielder
Air Force,Mountain West,Andrew Durkin,Sr.,,,,USA,"Richmond, VA",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2026,Defender
Air Force,Mountain West,Noah Higbie,So.,,,,USA,"Lenexa, KS",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2028,Defender
Air Force,Mountain West,Sean Flynn,So.,,,,USA,"Gilbert, AZ",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2028,Midfielder
Air Force,Mountain West,Seni Akinola,So.,,,,USA,"Hertfordshire, GB-ENG",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2028,Defender
Air Force,Mountain West,Aidan Grubbs,So.,,,,USA,"Bradenton, FL",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2028,Midfielder
Air Force,Mountain West,Tyler Kato,So.,,,,USA,"Ann Arbor, MI",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2028,Midfielder
Air Force,Mountain West,Logan Zaa,So.,,,,USA,"Honolulu, HI",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2028,Forward
Air Force,Mountain West,Josh Spence,Jr.,,,,USA,"Burlington, KY",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2027,Goalkeeper
Air Force,Mountain West,Menes Ajyeman,Fr.,,,,USA,"Berryville, VA",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2029,Midfielder
Air Force,Mountain West,Oliver Becker,Fr.,,,,USA,"Madison, WI",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2029,Midfielder
Air Force,Mountain West,Myles Farkas,Fr.,,,,USA,"San Diego, CA",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2029,Midfielder
Air Force,Mountain West,Brayden Benner,Fr.,,,,USA,"West Chester, OH",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2029,Defender
Air Force,Mountain West,Dane Baker,Fr.,,,,USA,"Danville, CA",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2029,Defender
Air Force,Mountain West,Andrei Bulankou,Fr.,,,,USA,"Seattle, Washington",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2029,Defender
Air Force,Mountain West,Boris-Scott Njante,Fr.,,,,USA,"Mesa, AZ",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2029,Forward
Air Force,Mountain West,Steve Rasizzi,Jr.,,,,USA,"Queens, NY",,,https://goairforcefalcons.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 27%,2027,Forward
Akron,MAC,Lincoln McCarty,Fr.,,,,USA,"Cave Creek, Ariz.",,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2029,Goalkeeper
Akron,MAC,Mitch Budler,R-Jr.,,,,USA,"Lincoln, Neb.",,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2027,Goalkeeper
Akron,MAC,Josh Hardin,So.,,,,USA,"Maple Valley, Wash.",,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2028,Defender
Akron,MAC,Daragh Reilly,Jr.,,,,International,"Meath, Ireland",Ireland,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2027,Defender
Akron,MAC,Jonas Buechte,Sr.,,,,International,"Rantingen, Germany",Germany,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2026,Defender
Akron,MAC,Malik Henry,Sr.,,,,International,"Hamilton, Ontario",Canada,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2026,Midfielder
Akron,MAC,Nicholas Beier,Fr.,,,,International,"Dietzenbach, Germany",Germany,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2029,Midfielder
Akron,MAC,Connor Filsinger,Fr.,,,,International,"Frankfurt, Germany",Germany,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2029,Midfielder
Akron,MAC,Beto Ydrach,R-Sr.,,,,USA,"Orlando, Fla.",,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2026,Midfielder
Akron,MAC,Emil Jaaskelainen,R-Sr.,,,,International,"Bolton, England",United Kingdom,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2026,Forward
Akron,MAC,Wan Kuzri Wan Kamal,Sr.,,,,USA,"Carbondale, Ill.",,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2026,Midfielder
Akron,MAC,James Buebendorf,Fr.,,,,USA,"O'Fallon, Mo.",,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2029,Defender
Akron,MAC,Caleb Borneo,R-Fr.,,,,USA,"Morgantown, W.Va.",,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2029,Midfielder
Akron,MAC,Remi Agunbiade,Fr.,,,,International,"Toronto, Ontario",Canada,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2029,Forward
Akron,MAC,Kamden Held,Fr.,,,,USA,"Naperville, Ill.",,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2029,Midfielder
Akron,MAC,Joshua Bartels,Fr.,,,,USA,"Stafford, Va.",,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2029,Midfielder
Akron,MAC,Nathan Ferguson,R-Fr.,,,,USA,"Glen Carbon, Ill.",,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2029,Forward
Akron,MAC,Stefan Dobrijevic,Jr.,,,,USA,"Uniontown, Ohio",,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2027,Forward
Akron,MAC,Dyson Clapier,R-Sr.,,,,USA,"Layton, Utah",,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2026,Midfielder
Akron,MAC,Daniel Firek,So.,,,,International,"Mississauga, Ontario",Canada,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2028,Midfielder
Akron,MAC,Maximus Barboto,Jr.,,,,USA,"Wayne, N.J.",,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2027,Midfielder
Akron,MAC,Matt Dreas,So.,,,,USA,"Covington, Ky.",,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2028,Midfielder
Akron,MAC,Jack Roman,Fr.,,,,USA,"Canfield, Ohio",,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2029,Midfielder
Akron,MAC,Thomas O’Rourke,Fr.,,,,USA,"East Patchogue, N.Y.",,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2029,Midfielder
Akron,MAC,Victor Gaulmin,R-Sr.,,,,International,"Guipavas, France",France,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2026,Midfielder
Akron,MAC,Simon Guardiero,Fr.,,,,International,"Guelph, Ontario",Canada,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2029,Defender
Akron,MAC,Ashton Kamdem,Jr.,,,,USA,"West Chester, Ohio",,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2027,Defender
Akron,MAC,Ryan Kopay,R-Fr.,,,,USA,"Pittsburgh, Pa.",,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2029,Midfielder
Akron,MAC,Aaron Meono,Fr.,,,,USA,"Redondo Beach, Calif.",,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2029,Goalkeeper
Akron,MAC,Brett Kaminski,Fr.,,,,USA,"Cooper City, Fla.",,,https://gozips.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 42%,2029,Goalkeeper
Albany,America East,Daniel Shannon,Sr.,,,,USA,"New York, N.Y.",,,https://ualbanysports.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 37%,2026,Goalkeeper
