School,Conference,Player Name,Class/Year,Total Minutes Played,Games Played,Games Started,Nationality,Hometown,Country,Source Stats URL,Source Roster URL,Data Confidence,Notes,Estimated Graduation,Position
Adams State,RMAC,Lars Ostermann,So.,,,,International,"Untersiggenthal, Switzerland",Switzerland,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2028,Goalkeeper
Adams State,RMAC,Henry Huffstetler,Fr.,,,,USA,"Plano, TX",,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2029,Goalkeeper
Adams State,RMAC,Jelmer Fokkink,Gr.,,,,International,"Silvolde, Netherlands",Netherlands,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2025,Defender
Adams State,RMAC,Jadon Fambro,So.,,,,USA,"Layton, Utah",,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2028,Defender
Adams State,RMAC,Francesco Boscolo Moretto,Gr.,,,,International,"Padova, Italy",Italy,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2025,Defender
Adams State,RMAC,Caleb Avila,So.,,,,USA,"Albuquerque, N.M.",,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2028,Defender
Adams State,RMAC,Tyler Zimbounellis,So.,,,,International,"Sydney, Australia",Australia,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2028,Midfielder
Adams State,RMAC,Tobias Sereinig,Jr.,,,,International,"St. Jakob im Rosental, Austria",Austria,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2027,Forward
Adams State,RMAC,Hans-Kristian Grøtting,So.,,,,International,"Alesund, Norway",Norway,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2028,Midfielder
Adams State,RMAC,Marius Wirz,Fr.,,,,International,"Sarnen, Obwalden, Switzerland",Switzerland,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2029,Forward
Adams State,RMAC,Ranulfo Lopez,Gr.,,,,USA,"Hutto, Texas",,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2025,Midfielder
Adams State,RMAC,Kaidin Reese,So.,,,,USA,"Colorado Springs, Colo.",,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2028,Forward
Adams State,RMAC,Leonardo Villacorta,Sr.,,,,USA,"Lawndale, CA",,,https://asugrizzlies.com/sports/mens-soccer/roster/2024,High,direct read of official 2024 roster page; 2025 name overlap 58%,2026,Midfielder
