School,Conference,Player Name,Class/Year,Total Minutes Played,Games Played,Games Started,Nationality,Hometown,Country,Source Stats URL,Source Roster URL,Data Confidence,Notes,Estimated Graduation,Position
Adams State,RMAC,Avery Richards,Sr.,908,14,13,USA,"San Antonio, Texas",,https://asugrizzlies.com/sports/mens-soccer/stats/2025,https://asugrizzlies.com/sports/mens-soccer/roster/2025,High,,2027,Forward
Adams State,RMAC,Eric Kidson,Jr.,610,13,9,International,"Sydney, Australia",Australia,https://asugrizzlies.com/sports/mens-soccer/stats/2025,https://asugrizzlies.com/sports/mens-soccer/roster/2025,High,,2028,Forward
Adams State,RMAC,Tim Mietenkorte,Jr.,1336,17,17,International,"Lengerich, Germany",Germany,https://asugrizzlies.com/sports/mens-soccer/stats/2025,https://asugrizzlies.com/sports/mens-soccer/roster/2025,High,,2028,Defender
Adams State,RMAC,Tobias Sereinig,Sr.,931,15,13,International,"St. Jakob im Rosental, Austria",Austria,https://asugrizzlies.com/sports/mens-soccer/stats/2025,https://asugrizzlies.com/sports/mens-soccer/roster/2025,High,,2027,Forward
Adams State,RMAC,Jadon Fambro,Jr.,1044,13,12,USA,"Layton, Utah",,https://asugrizzlies.com/sports/mens-soccer/stats/2025,https://asugrizzlies.com/sports/mens-soccer/roster/2025,High,,2028,Defender
Adams State,RMAC,Jett McTavish,So.,1033,16,9,International,"Sydney, NSW, Australia",Australia,https://asugrizzlies.com/sports/mens-soccer/stats/2025,https://asugrizzlies.com/sports/mens-soccer/roster/2025,High,,2029,Defender
Adams State,RMAC,Kaidin Reese,Jr.,505,15,4,USA,"Colorado Springs, Colo.",,https://asugrizzlies.com/sports/mens-soccer/stats/2025,https://asugrizzlies.com/sports/mens-soccer/roster/2025,High,,2028,Forward
Adams State,RMAC,Jonathan Vazquez,So.,645,17,5,USA,"Denver, Colo.",,https://asugrizzlies.com/sports/mens-soccer/stats/2025,https://asugrizzlies.com/sports/mens-soccer/roster/2025,High,,2029,Midfielder
Adams State,RMAC,Caleb Avila,Jr.,1119,16,14,USA,"Albuquerque, N.M.",,https://asugrizzlies.com/sports/mens-soccer/stats/2025,https://asugrizzlies.com/sports/mens-soccer/roster/2025,High,,2028,Defender
Adams State,RMAC,Gabriel Bowlin-Stacy,,437,9,5,USA,"Anchorage, AK",,https://asugrizzlies.com/sports/mens-soccer/stats/2025,,High,"Hometown found via Ottawa University Arizona (previous school) roster bio page, not school's own site",,
Adams State,RMAC,Hayden Rogers,So.,1021,16,14,USA,"Dallas, TX",,https://asugrizzlies.com/sports/mens-soccer/stats/2025,https://asugrizzlies.com/sports/mens-soccer/roster/2025,High,,2029,Midfielder
Adams State,RMAC,John Adu-Marfo,Sr.,100,6,1,USA,"Aurora, Colo.",,https://asugrizzlies.com/sports/mens-soccer/stats/2025,https://asugrizzlies.com/sports/mens-soccer/roster/2025,High,,2027,Defender
